"geno","male","female","pool"
"UGP202000232-2","Raihna","ARA209","B"
"UGP202000238-4","Raihna","Resisto","B"
"UGP202000236-21","Raihna","MSK1094","B"
"UGP202000232-5","Raihna","ARA209","B"
"UGP202000234-3","Raihna","MLE179","B"
"UGP202000250-4","Raihna","CIP199062.1","B"
"UGP202000250-2","Raihna","CIP199062.1","B"
"UGP202000232-1","Raihna","ARA209","B"
"UGP202000237-14","Raihna","Jewel","B"
"UGP202000232-3","Raihna","ARA209","B"
"UGP202000232-4","Raihna","ARA209","B"
"UGP202000234-11","Raihna","MLE179","B"
"UGP202000232-12","Raihna","ARA209","B"
"UGP202000238-5","Raihna","Resisto","B"
"UGP202000250-13","Raihna","CIP199062.1","B"
"UGP202000235-8","Raihna","SPK004_CIP","B"
"UGP202000250-6","Raihna","CIP199062.1","B"
"UGP202000238-6","Raihna","Resisto","B"
"UGP202000250-9","Raihna","CIP199062.1","B"
"UGP202000234-13","Raihna","MLE179","B"
"UGP202000233-12","Raihna","LUW1257","B"
"UGP202000238-7","Raihna","Resisto","B"
"UGP202000237-4","Raihna","Jewel","B"
"UGP202000235-3","Raihna","SPK004_CIP","B"
"UGP202000233-2","Raihna","LUW1257","B"
"UGP202000235-10","Raihna","SPK004_CIP","B"
"UGP202000232-11","Raihna","ARA209","B"
"UGP202000233-18","Raihna","LUW1257","B"
"UGP202000233-13","Raihna","LUW1257","B"
"UGP202000233-15","Raihna","LUW1257","B"
"UGP202000147-17","KML942","MLE179","B"
"UGP202000146-4","KML942","LUW1257","B"
"UGP202000147-5","KML942","MLE179","B"
"UGP202000146-7","KML942","LUW1257","B"
"UGP202000146-3","KML942","LUW1257","B"
"UGP202000148-8","KML942","MSK1094","B"
"UGP202000147-12","KML942","MLE179","B"
"UGP202000146-19","KML942","LUW1257","B"
"UGP202000146-14","KML942","LUW1257","B"
"UGP202000147-15","KML942","MLE179","B"
"UGP202000146-8","KML942","LUW1257","B"
"UGP202000147-6","KML942","MLE179","B"
"UGP202000148-11","KML942","MSK1094","B"
"UGP202000146-16","KML942","LUW1257","B"
"UGP202000148-3","KML942","MSK1094","B"
"UGP202000147-16","KML942","MLE179","B"
"UGP202000147-8","KML942","MLE179","B"
"UGP202000146-18","KML942","LUW1257","B"
"UGP202000147-19","KML942","MLE179","B"
"UGP202000147-4","KML942","MLE179","B"
"UGP202000146-11","KML942","LUW1257","B"
"UGP202000146-10","KML942","LUW1257","B"
"UGP202000148-9","KML942","MSK1094","B"
"UGP202000146-1","KML942","LUW1257","B"
"UGP202000148-2","KML942","MSK1094","B"
"UGP202000151-8","LUW1257","Sowola","B"
"UGP202000150-9","LUW1257","MBR536","B"
"UGP202000245-14","LUW1257","CIP199062.1","B"
"UGP202000245-9","LUW1257","CIP199062.1","B"
"UGP202000244-7","LUW1257","MSK1094","B"
"UGP202000266-5","LUW1257","SRT43","B"
"UGP202000149-12","LUW1257","KML942","B"
"UGP202000150-8","LUW1257","MBR536","B"
"UGP202000267-4","LUW1257","RAK848","B"
"UGP202000155-8","LUW1257","Resisto","B"
"UGP202000153-20","LUW1257","MKN1210","B"
"UGP202000153-12","LUW1257","MKN1210","B"
"UGP202000150-10","LUW1257","MBR536","B"
"UGP202000245-10","LUW1257","CIP199062.1","B"
"UGP202000155-9","LUW1257","Resisto","B"
"UGP202000150-11","LUW1257","MBR536","B"
"UGP202000243-5","LUW1257","KRE691","B"
"UGP202000155-1","LUW1257","Resisto","B"
"UGP202000155-7","LUW1257","Resisto","B"
"UGP202000153-18","LUW1257","MKN1210","B"
"UGP202000245-12","LUW1257","CIP199062.1","B"
"UGP202000245-8","LUW1257","CIP199062.1","B"
"UGP202000244-11","LUW1257","MSK1094","B"
"UGP202000155-10","LUW1257","Resisto","B"
"UGP202000243-9","LUW1257","KRE691","B"
"UGP202000157-13","KRE691","MSK1094","B"
"UGP202000156-9","KRE691","SPK004_CIP","B"
"UGP202000156-6","KRE691","SPK004_CIP","B"
"UGP202000156-7","KRE691","SPK004_CIP","B"
"UGP202000157-10","KRE691","MSK1094","B"
"UGP202000157-2","KRE691","MSK1094","B"
"UGP202000157-21","KRE691","MSK1094","B"
"UGP202000156-13","KRE691","SPK004_CIP","B"
"UGP202000156-12","KRE691","SPK004_CIP","B"
"UGP202000156-5","KRE691","SPK004_CIP","B"
"UGP202000157-11","KRE691","MSK1094","B"
"UGP202000157-20","KRE691","MSK1094","B"
"UGP202000156-8","KRE691","SPK004_CIP","B"
"UGP202000157-18","KRE691","MSK1094","B"
"UGP202000156-10","KRE691","SPK004_CIP","B"
"UGP202000157-1","KRE691","MSK1094","B"
"UGP202000157-19","KRE691","MSK1094","B"
"UGP202000156-11","KRE691","SPK004_CIP","B"
"UGP202000156-2","KRE691","SPK004_CIP","B"
"UGP202000156-4","KRE691","SPK004_CIP","B"
"UGP202000157-6","KRE691","MSK1094","B"
"UGP202000157-12","KRE691","MSK1094","B"
"UGP202000157-8","KRE691","MSK1094","B"
"UGP202000156-1","KRE691","SPK004_CIP","B"
"UGP202000157-4","KRE691","MSK1094","B"
"UGP202000159-11","MBR536","Resisto","B"
"UGP202000158-10","MBR536","MSK1094","B"
"UGP202000158-21","MBR536","MSK1094","B"
