"geno","row_number","col_number","colgroup","rowgroup","rc.group","env","pool","status","rytha","rn","cn","check","geno.cod","check.cod"
"CIP199062.1",1,1,"1","1","1_1","OT1NAM22","B","Parent",11.8888888888889,"1","1","Candidate","CIP199062.1",NA
"UGP202000263-18",1,2,"1","1","1_1","OT1NAM22","A","Regular",5.96296296296296,"1","2","Candidate","UGP202000263-18",NA
"UGP202000023-1",1,3,"1","1","1_1","OT1NAM22","A","Regular",4.07407407407407,"1","3","Candidate","UGP202000023-1",NA
"UGP202000056-12",1,4,"1","1","1_1","OT1NAM22","A","Regular",27.7777777777778,"1","4","Candidate","UGP202000056-12",NA
"Cemsa_74-228",1,5,"1","1","1_1","OT1NAM22","C","Check",4.44444444444444,"1","5","Check",NA,"Cemsa_74-228"
"UGP202000026-2",1,6,"1","1","1_1","OT1NAM22","A","Regular",37.4074074074074,"1","6","Candidate","UGP202000026-2",NA
"UGP202000241-1",1,7,"1","1","1_1","OT1NAM22","B","Regular",4.48148148148148,"1","7","Candidate","UGP202000241-1",NA
"UGP202000101-11",1,8,"1","1","1_1","OT1NAM22","A","Regular",4.07407407407407,"1","8","Candidate","UGP202000101-11",NA
"UGP202000275-1",1,9,"1","1","1_1","OT1NAM22","B","Regular",31.1851851851852,"1","9","Candidate","UGP202000275-1",NA
"UGP202000044-5",1,10,"1","1","1_1","OT1NAM22","A","Regular",1.55555555555556,"1","10","Candidate","UGP202000044-5",NA
"UGP202000210-14",1,11,"2","1","2_1","OT1NAM22","B","Regular",5.59259259259259,"1","11","Candidate","UGP202000210-14",NA
"UGP202000022-22",1,12,"2","1","2_1","OT1NAM22","A","Regular",24.0740740740741,"1","12","Candidate","UGP202000022-22",NA
"UGP202000071-5",1,13,"2","1","2_1","OT1NAM22","A","Regular",27.7777777777778,"1","13","Candidate","UGP202000071-5",NA
"Tanzania",1,14,"2","1","2_1","OT1NAM22","C","Check",10.037037037037,"1","14","Check",NA,"Tanzania"
"UGP202000217-17",1,15,"2","1","2_1","OT1NAM22","B","Regular",2.44444444444444,"1","15","Candidate","UGP202000217-17",NA
"UGP202000144-15",1,16,"2","1","2_1","OT1NAM22","B","Regular",0.740740740740741,"1","16","Candidate","UGP202000144-15",NA
"UGP202000128-16",1,17,"2","1","2_1","OT1NAM22","B","Regular",2.25925925925926,"1","17","Candidate","UGP202000128-16",NA
"SRT43",1,18,"2","1","2_1","OT1NAM22","B","Parent",17.037037037037,"1","18","Candidate","SRT43",NA
"UGP202000268-6",1,19,"2","1","2_1","OT1NAM22","B","Regular",2.96296296296296,"1","19","Candidate","UGP202000268-6",NA
"Resisto",1,20,"2","1","2_1","OT1NAM22","B","Parent",12.6296296296296,"1","20","Candidate","Resisto",NA
"UGP202000276-14",1,21,"3","1","3_1","OT1NAM22","B","Regular",39.6296296296296,"1","21","Candidate","UGP202000276-14",NA
"New_Kawogo",1,22,"3","1","3_1","OT1NAM22","C","Check",3.7037037037037,"1","22","Check",NA,"New_Kawogo"
"UGP202000262-8",1,23,"3","1","3_1","OT1NAM22","A","Regular",3.33333333333333,"1","23","Candidate","UGP202000262-8",NA
"ARA209",1,24,"3","1","3_1","OT1NAM22","B","Parent",8.92592592592592,"1","24","Candidate","ARA209",NA
"UGP202000179-18",1,25,"3","1","3_1","OT1NAM22","B","Regular",22.2222222222222,"1","25","Candidate","UGP202000179-18",NA
"UGP202000101-18",1,26,"3","1","3_1","OT1NAM22","A","Regular",12.5925925925926,"1","26","Candidate","UGP202000101-18",NA
"UGP202000148-3",1,27,"3","1","3_1","OT1NAM22","B","Regular",NA,"1","27","Candidate","UGP202000148-3",NA
"UGP202000065-20",1,28,"3","1","3_1","OT1NAM22","A","Regular",16.2962962962963,"1","28","Candidate","UGP202000065-20",NA
"UGP202000174-12",1,29,"3","1","3_1","OT1NAM22","B","Regular",28.1481481481481,"1","29","Candidate","UGP202000174-12",NA
"MBR536",1,30,"3","1","3_1","OT1NAM22","B","Parent",8.51851851851852,"1","30","Candidate","MBR536",NA
"UGP202000158-13",2,1,"1","1","1_1","OT1NAM22","B","Regular",13.037037037037,"2","1","Candidate","UGP202000158-13",NA
"KMI61",2,2,"1","1","1_1","OT1NAM22","A","Parent",9.25925925925926,"2","2","Candidate","KMI61",NA
"UGP202000267-4",2,3,"1","1","1_1","OT1NAM22","B","Regular",11.1111111111111,"2","3","Candidate","UGP202000267-4",NA
"LUW1257",2,4,"1","1","1_1","OT1NAM22","B","Parent",25.9259259259259,"2","4","Candidate","LUW1257",NA
"UGP202000271-13",2,5,"1","1","1_1","OT1NAM22","B","Regular",22.2222222222222,"2","5","Candidate","UGP202000271-13",NA
"UGP202000021-6",2,6,"1","1","1_1","OT1NAM22","A","Regular",19.2592592592593,"2","6","Candidate","UGP202000021-6",NA
"UGP202000263-7",2,7,"1","1","1_1","OT1NAM22","A","Regular",0.777777777777778,"2","7","Candidate","UGP202000263-7",NA
"ARA209",2,8,"1","1","1_1","OT1NAM22","B","Parent",14.0740740740741,"2","8","Candidate","ARA209",NA
"UGP202000200-15",2,9,"1","1","1_1","OT1NAM22","B","Regular",8.88888888888889,"2","9","Candidate","UGP202000200-15",NA
"UGP202000200-13",2,10,"1","1","1_1","OT1NAM22","B","Regular",33.7037037037037,"2","10","Candidate","UGP202000200-13",NA
"LUW1274",2,11,"2","1","2_1","OT1NAM22","A","Parent",14.8148148148148,"2","11","Candidate","LUW1274",NA
"UGP202000099-14",2,12,"2","1","2_1","OT1NAM22","A","Regular",14.8148148148148,"2","12","Candidate","UGP202000099-14",NA
"UGP202000080-1",2,13,"2","1","2_1","OT1NAM22","A","Regular",5.66666666666667,"2","13","Candidate","UGP202000080-1",NA
"Beauregard",2,14,"2","1","2_1","OT1NAM22","C","Check",22.2962962962963,"2","14","Check",NA,"Beauregard"
"UGP202000078-5",2,15,"2","1","2_1","OT1NAM22","A","Regular",6.2962962962963,"2","15","Candidate","UGP202000078-5",NA
"NAROSPOT1",2,16,"2","1","2_1","OT1NAM22","C","Check",7.40740740740741,"2","16","Check",NA,"NAROSPOT1"
"UGP202000036-19",2,17,"2","1","2_1","OT1NAM22","A","Regular",3.33333333333333,"2","17","Candidate","UGP202000036-19",NA
"UGP202000123-4",2,18,"2","1","2_1","OT1NAM22","A","Regular",7.44444444444444,"2","18","Candidate","UGP202000123-4",NA
"UGP202000099-9",2,19,"2","1","2_1","OT1NAM22","A","Regular",1.2962962962963,"2","19","Candidate","UGP202000099-9",NA
"UGP202000039-15",2,20,"2","1","2_1","OT1NAM22","A","Regular",2.96296296296296,"2","20","Candidate","UGP202000039-15",NA
"UGP202000195-16",2,21,"3","1","3_1","OT1NAM22","B","Regular",15.9259259259259,"2","21","Candidate","UGP202000195-16",NA
"UGP202000160-9",2,22,"3","1","3_1","OT1NAM22","B","Regular",13.7037037037037,"2","22","Candidate","UGP202000160-9",NA
"UGP202000092-7",2,23,"3","1","3_1","OT1NAM22","A","Regular",1.77777777777778,"2","23","Candidate","UGP202000092-7",NA
"UGP202000020-7",2,24,"3","1","3_1","OT1NAM22","A","Regular",0.777777777777778,"2","24","Candidate","UGP202000020-7",NA
"UGP202000052-13",2,25,"3","1","3_1","OT1NAM22","A","Regular",18.8888888888889,"2","25","Candidate","UGP202000052-13",NA
"UGP202000190-15",2,26,"3","1","3_1","OT1NAM22","B","Regular",11.1111111111111,"2","26","Candidate","UGP202000190-15",NA
"MPG1128",2,27,"3","1","3_1","OT1NAM22","A","Parent",26.4074074074074,"2","27","Candidate","MPG1128",NA
"UGP202000156-8",2,28,"3","1","3_1","OT1NAM22","B","Regular",3.40740740740741,"2","28","Candidate","UGP202000156-8",NA
"KML942",2,29,"3","1","3_1","OT1NAM22","B","Parent",12.962962962963,"2","29","Candidate","KML942",NA
"UGP202000138-1",2,30,"3","1","3_1","OT1NAM22","B","Regular",3,"2","30","Candidate","UGP202000138-1",NA
"UGP202000217-15",3,1,"1","1","1_1","OT1NAM22","B","Regular",9.62962962962963,"3","1","Candidate","UGP202000217-15",NA
"UGP202000006-18",3,2,"1","1","1_1","OT1NAM22","A","Regular",11.1111111111111,"3","2","Candidate","UGP202000006-18",NA
"UGP202000128-9",3,3,"1","1","1_1","OT1NAM22","B","Regular",7.77777777777778,"3","3","Candidate","UGP202000128-9",NA
"RAK808",3,4,"1","1","1_1","OT1NAM22","C","Check",40.037037037037,"3","4","Check",NA,"RAK808"
"New_Kawogo",3,5,"1","1","1_1","OT1NAM22","C","Check",22.2222222222222,"3","5","Check",NA,"New_Kawogo"
"UGP202000055-19",3,6,"1","1","1_1","OT1NAM22","A","Regular",35.1851851851852,"3","6","Candidate","UGP202000055-19",NA
"UGP202000129-11",3,7,"1","1","1_1","OT1NAM22","B","Regular",19.6666666666667,"3","7","Candidate","UGP202000129-11",NA
"MPG1128",3,8,"1","1","1_1","OT1NAM22","A","Parent",48.8888888888889,"3","8","Candidate","MPG1128",NA
"UGP202000020-8",3,9,"1","1","1_1","OT1NAM22","A","Regular",10.7407407407407,"3","9","Candidate","UGP202000020-8",NA
"UGP202000125-4",3,10,"1","1","1_1","OT1NAM22","A","Regular",25.9259259259259,"3","10","Candidate","UGP202000125-4",NA
"UGP202000091-10",3,11,"2","1","2_1","OT1NAM22","A","Regular",9.25925925925926,"3","11","Candidate","UGP202000091-10",NA
"UGP202000046-19",3,12,"2","1","2_1","OT1NAM22","A","Regular",13.3333333333333,"3","12","Candidate","UGP202000046-19",NA
